University,Program,Year,Closing_Merit,Total_Seats,Applicants,Admission_Status
Punjab University (PU),Business Administration,2020,82.11,40,563,Closed
NED University of Engineering and Technology,Mathematics,2021,82.04,50,853,Closed
University of Karachi,Electrical Engineering,2016,77.18,60,488,Closed
Superior University Lahore,Mechanical Engineering,2016,61.2,150,1934,Closed
University of Central Punjab (UCP),Artificial Intelligence,2023,81.53,120,980,Closed
University of Agriculture Faisalabad (UAF),Artificial Intelligence,2021,77.07,40,250,Closed
University of Agriculture Faisalabad (UAF),Biomedical Engineering,2016,71.27,80,1136,Closed
University of Engineering and Technology (UET) Taxila,Mathematics,2024,84.53,40,239,Closed
Riphah International University,Artificial Intelligence,2020,74.6,40,553,Closed
Punjab University (PU),Chemical Engineering,2021,84.86,120,2058,Closed
University of Karachi,Civil Engineering,2020,73.42,80,1081,Closed
Lahore University of Management Sciences (LUMS),Civil Engineering,2019,93.3,150,1722,Closed
Air University Islamabad,Electrical Engineering,2022,82.31,120,642,Closed
Riphah International University,Mechanical Engineering,2019,67.63,80,998,Closed
Ghulam Ishaq Khan Institute (GIKI),Mechanical Engineering,2022,91.8,150,2309,Closed
National University of Sciences and Technology (NUST),Electrical Engineering,2021,97.49,,1061,Closed
COMSATS University Islamabad,Business Administration,2022,77.39,100,1398,Closed
National University of Sciences and Technology (NUST),Mechanical Engineering,2019,95.16,150,1863,Closed
Mehran University of Engineering and Technology,Electrical Engineering,2017,77.77,150,1246,Closed
University of Central Punjab (UCP),Mechanical Engineering,2020,66.91,120,1651,Closed
Islamia University of Bahawalpur,Computer Science,2017,73.61,100,565,Closed
Superior University Lahore,Business Administration,2023,63.46,80,317,Closed
Institute of Space Technology (IST),Data Science,2024,93.01,80,1508,Closed
Bahria University,Computer Science,2020,84.41,80,616,Closed
University of Engineering and Technology (UET) Lahore,Electrical Engineering,2018,95.23,100,1282,Closed
Air University Islamabad,Software Engineering,2022,84.85,60,1036,Closed
Islamia University of Bahawalpur,Artificial Intelligence,2021,73.9,80,1035,Closed
Riphah International University,Mathematics,2015,66.19,80,1119,Closed
University of Sargodha,Computer Science,2015,70.89,150,1577,Closed
University of Central Punjab (UCP),Electrical Engineering,2022,75.2,40,521,Closed
University of Sargodha,Software Engineering,2023,75.04,40,241,Closed
University of Karachi,Artificial Intelligence,2016,79.57,50,245,Closed
University of Engineering and Technology (UET) Taxila,Biomedical Engineering,2021,87.47,150,2024,Closed
University of Gujrat,Chemical Engineering,2023,74.31,120,1414,Closed
COMSATS University Islamabad,Computer Science,2017,85.87,80,412,Closed
University of Gujrat,Business Administration,2022,67.42,80,1136,Closed
Islamia University of Bahawalpur,Electrical Engineering,2021,72.08,120,807,Closed
Bahauddin Zakariya University (BZU) Multan,Data Science,2023,79.46,50,693,Closed
University of the Punjab (Gujranwala Campus),Civil Engineering,2017,70.21,150,1714,Closed
Institute of Space Technology (IST),Economics,2019,84.56,80,1313,Closed
Islamia University of Bahawalpur,Business Administration,2019,65.23,50,485,Closed
Mehran University of Engineering and Technology,Data Science,2023,84.1,150,1124,Closed
University of the Punjab (Gujranwala Campus),Chemical Engineering,2019,73.65,60,294,Closed
Quaid-i-Azam University (QAU),Business Administration,2019,86.15,60,598,Closed
Bahauddin Zakariya University (BZU) Multan,Data Science,2016,75.01,40,547,Closed
University of the Punjab (Gujranwala Campus),Biomedical Engineering,2020,78.2,40,424,Closed
University of Engineering and Technology (UET) Lahore,Mechanical Engineering,2018,91.57,100,1844,Closed
COMSATS University Islamabad,Mathematics,2017,76.19,60,528,Closed
Riphah International University,Artificial Intelligence,2018,79.65,60,791,Closed
Bahria University,Mechanical Engineering,2024,81.3,40,406,Closed
Quaid-i-Azam University (QAU),Computer Science,2022,98.18,50,443,Closed
Bahria University,Civil Engineering,2021,78.87,50,662,Closed
University of Central Punjab (UCP),Biomedical Engineering,2022,72.54,100,754,Closed
University of the Punjab (Gujranwala Campus),Software Engineering,2015,73.81,40,384,Closed
Mehran University of Engineering and Technology,Business Administration,2024,78.28,80,1134,Closed
National University of Sciences and Technology (NUST),Artificial Intelligence,2020,99.5,120,1189,Closed
Air University Islamabad,Artificial Intelligence,2018,85.71,120,2005,Closed
Bahria University,Civil Engineering,2019,73.59,40,228,Closed
COMSATS University Islamabad,Computer Science,2022,86.43,100,1037,Closed
Superior University Lahore,Artificial Intelligence,2021,74.7,150,2236,Closed
COMSATS University Islamabad,Mechanical Engineering,2016,77.71,50,781,Closed
Lahore University of Management Sciences (LUMS),Computer Science,2017,99.5,80,1667,Closed
Mehran University of Engineering and Technology,Artificial Intelligence,2017,83.57,80,405,Closed
FAST National University,Data Science,2022,95.74,120,1521,Closed
University of Karachi,Software Engineering,2019,78.27,80,1095,Closed
University of the Punjab (Gujranwala Campus),Business Administration,2019,69.39,40,240,Closed
University of Central Punjab (UCP),Civil Engineering,2022,69.66,40,478,Closed
University of the Punjab (Gujranwala Campus),Economics,2024,77.08,50,566,Closed
FAST National University,Computer Science,2015,93.33,80,1016,Closed
University of Central Punjab (UCP),Business Administration,2024,70.46,100,1216,Closed
Islamia University of Bahawalpur,Mathematics,2019,64.87,80,579,Closed
Mehran University of Engineering and Technology,Electrical Engineering,2019,79.59,60,903,Closed
Air University Islamabad,Electrical Engineering,2018,82.09,100,601,Closed
University of Central Punjab (UCP),Software Engineering,2018,71.43,100,1191,Closed
University of Engineering and Technology (UET) Lahore,Chemical Engineering,2020,93.11,100,994,Closed
University of Central Punjab (UCP),Business Administration,2022,69.39,80,1073,Closed
University of Management and Technology (UMT),Mechanical Engineering,2020,68.62,150,608,Closed
University of Central Punjab (UCP),Data Science,2018,74.36,100,887,Closed
University of Sargodha,Software Engineering,2016,67.55,60,499,Closed
University of Gujrat,Biomedical Engineering,2021,71.13,100,1220,Closed
Bahria University,Mechanical Engineering,2016,75.08,50,451,Closed
Quaid-i-Azam University (QAU),Business Administration,2017,84.06,60,605,Closed
University of Gujrat,Electrical Engineering,2020,69.11,40,391,Closed
University of Gujrat,Mechanical Engineering,2017,68.24,50,649,Closed
University of Management and Technology (UMT),Civil Engineering,2017,66.63,150,1059,Closed
University of Management and Technology (UMT),Economics,2015,69.7,80,887,Closed
University of Gujrat,Biomedical Engineering,2016,70.68,40,281,Closed
Mehran University of Engineering and Technology,Electrical Engineering,2020,79.22,80,823,Closed
University of Engineering and Technology (UET) Lahore,Software Engineering,2024,97.68,100,1903,Closed
Bahria University,Chemical Engineering,2018,79.82,50,740,Closed
University of Karachi,Data Science,2017,81.26,50,358,Closed
Lahore University of Management Sciences (LUMS),Mathematics,2024,96.66,50,536,Closed
Bahria University,Mathematics,2015,73.12,150,703,Closed
Riphah International University,Mathematics,2022,68.03,120,729,Closed
Institute of Space Technology (IST),Mechanical Engineering,2016,80.95,40,261,Closed
University of Sargodha,Business Administration,2018,62.97,150,1556,Closed
NED University of Engineering and Technology,Chemical Engineering,2021,84.35,120,792,Closed
University of Engineering and Technology (UET) Lahore,Civil Engineering,2021,90.47,100,1336,Closed
Lahore University of Management Sciences (LUMS),Artificial Intelligence,2023,99.5,40,549,Closed
Punjab University (PU),Business Administration,2018,79.58,120,641,Closed
NED University of Engineering and Technology,Electrical Engineering,2015,86.53,50,533,Closed
Islamia University of Bahawalpur,Business Administration,2024,68.15,150,1028,Closed
Riphah International University,Mechanical Engineering,2018,71.04,80,564,Closed
Riphah International University,Mechanical Engineering,2024,72.91,50,772,Closed
University of Management and Technology (UMT),Biomedical Engineering,2020,72.57,50,581,Closed
Institute of Space Technology (IST),Economics,2022,83.36,50,444,Closed
University of Gujrat,Computer Science,2023,76.82,150,1449,Closed
Air University Islamabad,Mechanical Engineering,2019,79.83,50,318,Closed
Bahria University,Computer Science,2016,82.48,40,407,Closed
Riphah International University,Civil Engineering,2023,70.52,150,915,Closed
University of the Punjab (Gujranwala Campus),Electrical Engineering,2021,79.76,40,676,Closed
University of Agriculture Faisalabad (UAF),Business Administration,2019,67.84,100,1414,Closed
University of Management and Technology (UMT),Mathematics,2020,67.9,150,1933,Closed
University of Central Punjab (UCP),Mathematics,2024,72.01,100,1048,Closed
Institute of Space Technology (IST),Biomedical Engineering,2018,89.04,50,437,Closed
Institute of Space Technology (IST),Mechanical Engineering,2020,84.35,50,668,Closed
National University of Sciences and Technology (NUST),Software Engineering,2024,99.5,60,1232,Closed
Quaid-i-Azam University (QAU),Mathematics,2021,85.81,120,1669,Closed
University of Management and Technology (UMT),Chemical Engineering,2019,69.96,120,1042,Closed
Islamia University of Bahawalpur,Electrical Engineering,2017,69.45,120,1382,Closed
Bahria University,Data Science,2015,83.02,120,1391,Closed
National University of Sciences and Technology (NUST),Chemical Engineering,2023,94.12,60,1021,Closed
University of Engineering and Technology (UET) Taxila,Biomedical Engineering,2017,87.11,150,2199,Closed
NED University of Engineering and Technology,Electrical Engineering,2017,87.38,60,506,Closed
University of Management and Technology (UMT),Mathematics,2023,72.03,120,1031,Closed
Air University Islamabad,Computer Science,2017,86.89,150,1811,Closed
University of Karachi,Mechanical Engineering,2017,71.56,40,205,Closed
University of Karachi,Artificial Intelligence,2021,83.16,120,1011,Closed
University of Engineering and Technology (UET) Lahore,Mathematics,2015,88.3,40,243,Closed
University of Engineering and Technology (UET) Taxila,Artificial Intelligence,2015,90.28,120,2260,Closed
Mehran University of Engineering and Technology,Artificial Intelligence,2024,83.23,100,1548,Closed
NED University of Engineering and Technology,Electrical Engineering,2023,87.3,120,1484,Closed
Quaid-i-Azam University (QAU),Artificial Intelligence,2021,96.14,100,1859,Closed
Lahore University of Management Sciences (LUMS),Economics,2017,93.34,40,428,Closed
National University of Sciences and Technology (NUST),Artificial Intelligence,2015,99.5,40,725,Closed
University of Engineering and Technology (UET) Lahore,Mechanical Engineering,2024,,50,944,Closed
Superior University Lahore,Business Administration,2024,67.3,120,497,Closed
Lahore University of Management Sciences (LUMS),Chemical Engineering,2017,93.79,40,600,Closed
University of Karachi,Chemical Engineering,2017,76.93,150,1337,Closed
University of Engineering and Technology (UET) Taxila,Business Administration,2024,88.6,50,603,Closed
NED University of Engineering and Technology,Artificial Intelligence,2024,95.54,60,911,Closed
University of Central Punjab (UCP),Software Engineering,2021,73.15,50,402,Closed
Islamia University of Bahawalpur,Data Science,2023,75.14,50,494,Closed
University of Central Punjab (UCP),Mathematics,2016,63.99,150,999,Closed
Ghulam Ishaq Khan Institute (GIKI),Electrical Engineering,2017,93.41,150,1530,Closed
Ghulam Ishaq Khan Institute (GIKI),Mathematics,2020,91.61,150,1254,Closed
University of Engineering and Technology (UET) Taxila,Software Engineering,2021,89.12,120,1831,Closed
University of Sargodha,Software Engineering,2021,70.12,50,695,Closed
Punjab University (PU),Business Administration,2016,75.74,150,2056,Closed
Bahauddin Zakariya University (BZU) Multan,Software Engineering,2020,76.78,150,1137,Closed
Mehran University of Engineering and Technology,Business Administration,2016,74.05,40,276,Closed
Mehran University of Engineering and Technology,Mathematics,2021,78.08,120,1567,Closed
National University of Sciences and Technology (NUST),Civil Engineering,2023,93.85,120,994,Closed
University of Karachi,Data Science,2022,82.22,100,1655,Closed
University of Engineering and Technology (UET) Lahore,Economics,2021,91.33,40,551,Closed
University of Management and Technology (UMT),Biomedical Engineering,2017,72.05,60,652,Closed
Bahauddin Zakariya University (BZU) Multan,Computer Science,2019,76.66,40,428,Closed
University of Gujrat,Computer Science,2022,78.13,120,1098,Closed
Punjab University (PU),Mechanical Engineering,2019,82.9,60,699,Closed
Air University Islamabad,Computer Science,2019,86.9,150,2621,Closed
University of Management and Technology (UMT),Chemical Engineering,2022,74.08,100,981,Closed
Quaid-i-Azam University (QAU),Electrical Engineering,2024,90.86,120,2215,Closed
NED University of Engineering and Technology,Civil Engineering,2018,79.7,120,736,Closed
University of Agriculture Faisalabad (UAF),Chemical Engineering,2019,73.32,120,1118,Closed
Ghulam Ishaq Khan Institute (GIKI),Computer Science,2015,95.19,60,567,Closed
Islamia University of Bahawalpur,Mathematics,2016,66.7,80,358,Closed
Bahria University,Chemical Engineering,2018,79.82,50,740,Closed
Punjab University (PU),Biomedical Engineering,2019,82.7,50,760,Closed
COMSATS University Islamabad,Software Engineering,2017,80.9,50,714,Closed
FAST National University,Electrical Engineering,2022,89.66,50,511,Closed
University of Engineering and Technology (UET) Lahore,Software Engineering,2022,94.86,150,2548,Closed
Islamia University of Bahawalpur,Electrical Engineering,2015,69.79,80,620,Closed
Bahauddin Zakariya University (BZU) Multan,Artificial Intelligence,2022,83.15,150,802,Closed
Bahauddin Zakariya University (BZU) Multan,Mathematics,2023,71.38,120,899,Closed
University of Management and Technology (UMT),Chemical Engineering,2024,76.06,120,1947,Closed
Punjab University (PU),Artificial Intelligence,2018,86.12,60,449,Closed
University of Central Punjab (UCP),Business Administration,2023,68.09,80,1071,Closed
University of Karachi,Electrical Engineering,2020,76.28,100,1625,Closed
Riphah International University,Biomedical Engineering,2016,70.81,60,466,Closed
Lahore University of Management Sciences (LUMS),Electrical Engineering,2016,96.85,50,849,Closed
University of Sargodha,Computer Science,2024,74.45,80,481,Closed
Institute of Space Technology (IST),Software Engineering,2015,88.43,80,1038,Closed
University of Gujrat,Mathematics,2017,64.63,120,1069,Closed
COMSATS University Islamabad,Artificial Intelligence,2023,90.17,50,795,Closed
Riphah International University,Civil Engineering,2017,66.32,80,854,Closed
Bahauddin Zakariya University (BZU) Multan,Economics,2015,68.19,120,988,Closed
University of Gujrat,Artificial Intelligence,2016,75.3,150,1468,Closed
Riphah International University,Electrical Engineering,2015,70.12,40,195,Closed
University of Agriculture Faisalabad (UAF),Civil Engineering,2016,68.74,120,1053,Closed
Riphah International University,Economics,2015,65.68,60,466,Closed
Bahauddin Zakariya University (BZU) Multan,Biomedical Engineering,2023,77.55,50,274,Closed
Riphah International University,Mechanical Engineering,2020,69.8,80,400,Closed
University of Gujrat,Chemical Engineering,2024,72.56,120,1620,Closed
Air University Islamabad,Mechanical Engineering,2017,76.78,150,2322,Closed
Bahauddin Zakariya University (BZU) Multan,Electrical Engineering,2017,72.59,80,856,Closed
Riphah International University,Data Science,2022,74.95,100,1008,Closed
University of Management and Technology (UMT),Economics,2019,67.43,120,1668,Closed
University of Management and Technology (UMT),Civil Engineering,2020,70.94,150,1905,Closed
Ghulam Ishaq Khan Institute (GIKI),Software Engineering,2024,98.85,150,2098,Closed
University of the Punjab (Gujranwala Campus),Electrical Engineering,2022,75.47,50,671,Closed
National University of Sciences and Technology (NUST),Mathematics,2017,92.56,80,1369,Closed
University of Gujrat,Electrical Engineering,2022,71.4,100,726,Closed
University of Central Punjab (UCP),Artificial Intelligence,2020,78.05,50,417,Closed
University of Sargodha,Economics,2016,65.96,50,340,Closed
University of Engineering and Technology (UET) Taxila,Data Science,2019,91.71,50,454,Closed
University of Engineering and Technology (UET) Lahore,Computer Science,2022,95.33,150,1589,Closed
Bahria University,Artificial Intelligence,2021,87.07,100,1688,Closed
Institute of Space Technology (IST),Electrical Engineering,2021,86.65,100,1484,Closed
Bahria University,Chemical Engineering,2024,77.75,50,721,Closed
COMSATS University Islamabad,Data Science,2017,83.81,120,851,Closed
University of the Punjab (Gujranwala Campus),Civil Engineering,2019,70.11,60,280,Closed
Lahore University of Management Sciences (LUMS),Data Science,2022,99.5,60,983,Closed
Lahore University of Management Sciences (LUMS),Software Engineering,2021,97.07,50,764,Closed
University of Central Punjab (UCP),Biomedical Engineering,2024,71.93,120,1431,Closed
Air University Islamabad,Civil Engineering,2022,78.78,150,1502,Closed
University of the Punjab (Gujranwala Campus),Civil Engineering,2022,73.59,60,735,Closed
COMSATS University Islamabad,Electrical Engineering,2018,80.76,50,838,Closed
University of Management and Technology (UMT),Electrical Engineering,2024,76.1,150,1134,Closed
Quaid-i-Azam University (QAU),Business Administration,2021,85.29,120,676,Closed
Bahria University,Mathematics,2016,73.41,150,1347,Closed
Bahauddin Zakariya University (BZU) Multan,Data Science,2015,75.6,150,1764,Closed
FAST National University,Artificial Intelligence,2016,92.29,100,585,Closed
Air University Islamabad,Business Administration,2021,79.21,80,1251,Closed
National University of Sciences and Technology (NUST),Software Engineering,2023,99.5,150,1942,Closed
Air University Islamabad,Data Science,2020,87.48,50,574,Closed
Bahria University,Electrical Engineering,2015,78.12,150,2106,Closed
Bahauddin Zakariya University (BZU) Multan,Artificial Intelligence,2020,82.99,120,1198,Closed
Riphah International University,Biomedical Engineering,2019,73.24,40,289,Closed
University of Sargodha,Biomedical Engineering,2016,66.71,40,370,Closed
University of Engineering and Technology (UET) Taxila,Mechanical Engineering,2023,86.4,150,2002,Closed
Mehran University of Engineering and Technology,Mechanical Engineering,2016,74.82,100,1478,Closed
FAST National University,Computer Science,2017,90.56,120,1006,Closed
COMSATS University Islamabad,Mathematics,2016,75.75,100,471,Closed
University of Sargodha,Mathematics,2015,65.13,50,219,Closed
Islamia University of Bahawalpur,Business Administration,2016,66.06,80,483,Closed
University of Agriculture Faisalabad (UAF),Civil Engineering,2021,70.96,60,618,Closed
NED University of Engineering and Technology,Civil Engineering,2015,77.77,150,1394,Closed
FAST National University,Artificial Intelligence,2020,93.41,60,767,Closed
University of Central Punjab (UCP),Data Science,2019,76.21,100,1351,Closed
Lahore University of Management Sciences (LUMS),Chemical Engineering,2015,95.09,50,943,Closed
NED University of Engineering and Technology,Data Science,2023,91.73,100,696,Closed
University of Sargodha,Computer Science,2023,72.0,40,214,Closed
Mehran University of Engineering and Technology,Electrical Engineering,2023,78.9,60,816,Closed
COMSATS University Islamabad,Computer Science,2021,87.09,60,370,Closed
National University of Sciences and Technology (NUST),Business Administration,2019,93.52,80,1359,Closed
University of Engineering and Technology (UET) Lahore,Software Engineering,2017,96.9,80,781,Closed
University of Central Punjab (UCP),Artificial Intelligence,2022,81.42,60,619,Closed
Ghulam Ishaq Khan Institute (GIKI),Business Administration,2016,90.81,100,1502,Closed
National University of Sciences and Technology (NUST),Computer Science,2018,99.48,120,1236,Closed
Mehran University of Engineering and Technology,Mathematics,2019,75.12,80,1190,Closed
Ghulam Ishaq Khan Institute (GIKI),Mathematics,2017,90.79,120,867,Closed
University of Engineering and Technology (UET) Taxila,Software Engineering,2022,93.86,40,460,Closed
University of Engineering and Technology (UET) Lahore,Mathematics,2019,87.96,,1017,Closed
University of Sargodha,Biomedical Engineering,2019,70.6,120,1783,Closed
University of Karachi,Civil Engineering,2018,72.06,80,396,Closed
University of the Punjab (Gujranwala Campus),Electrical Engineering,2024,78.82,80,1222,Closed
Institute of Space Technology (IST),Mathematics,2017,79.37,100,1016,Closed
University of Central Punjab (UCP),Data Science,2021,77.36,80,515,Closed
University of Engineering and Technology (UET) Taxila,Artificial Intelligence,2016,91.39,120,809,Closed
National University of Sciences and Technology (NUST),Chemical Engineering,2018,95.84,120,836,Closed
Islamia University of Bahawalpur,Business Administration,2021,65.41,80,559,Closed
Punjab University (PU),Civil Engineering,2022,78.98,80,811,Closed
Riphah International University,Business Administration,2018,69.37,80,1057,Closed
Quaid-i-Azam University (QAU),Software Engineering,2020,92.1,120,1838,Closed
University of Gujrat,Chemical Engineering,2021,67.9,60,665,Closed
University of Sargodha,Civil Engineering,2024,65.15,150,1457,Closed
University of Sargodha,Biomedical Engineering,2020,70.02,60,890,Closed
Punjab University (PU),Chemical Engineering,2016,81.16,100,1012,Closed
National University of Sciences and Technology (NUST),Artificial Intelligence,2019,99.5,120,969,Closed
Bahria University,Chemical Engineering,2015,80.36,100,1289,Closed
Bahauddin Zakariya University (BZU) Multan,Civil Engineering,2023,72.34,50,732,Closed
University of Central Punjab (UCP),Electrical Engineering,2021,72.06,120,1002,Closed
University of Karachi,Artificial Intelligence,2024,84.54,120,1012,Closed
COMSATS University Islamabad,Electrical Engineering,2022,80.91,60,572,Closed
University of Engineering and Technology (UET) Lahore,Economics,2020,89.94,60,459,Closed
University of Sargodha,Artificial Intelligence,2017,73.24,60,539,Closed
Punjab University (PU),Biomedical Engineering,2024,88.2,80,480,Closed
National University of Sciences and Technology (NUST),Economics,2021,94.41,150,1939,Closed
Quaid-i-Azam University (QAU),Software Engineering,2017,89.15,40,522,Closed
NED University of Engineering and Technology,Mechanical Engineering,2022,82.77,40,254,Closed
University of Karachi,Data Science,2016,81.15,80,1066,Closed
National University of Sciences and Technology (NUST),Civil Engineering,2016,91.06,150,2835,Closed
Punjab University (PU),Software Engineering,2020,85.51,60,640,Closed
NED University of Engineering and Technology,Mechanical Engineering,2019,82.1,60,831,Closed
University of Central Punjab (UCP),Chemical Engineering,2019,71.54,40,399,Closed
COMSATS University Islamabad,Chemical Engineering,2022,81.66,120,2069,Closed
University of Gujrat,Electrical Engineering,2017,67.11,100,583,Closed
Ghulam Ishaq Khan Institute (GIKI),Computer Science,2018,98.4,100,864,Closed
Ghulam Ishaq Khan Institute (GIKI),Software Engineering,2020,97.54,50,472,Closed
University of Engineering and Technology (UET) Lahore,Computer Science,2016,97.4,100,689,Closed
Bahria University,Biomedical Engineering,2023,,80,1230,Closed
University of Agriculture Faisalabad (UAF),Chemical Engineering,2024,76.15,50,271,Closed
COMSATS University Islamabad,Electrical Engineering,2023,84.88,40,615,Closed
COMSATS University Islamabad,Artificial Intelligence,2015,86.87,100,1771,Closed
COMSATS University Islamabad,Artificial Intelligence,2022,85.34,40,348,Closed
Riphah International University,Software Engineering,2015,71.8,120,1124,Closed
Institute of Space Technology (IST),Biomedical Engineering,2016,87.5,50,264,Closed
National University of Sciences and Technology (NUST),Chemical Engineering,2017,95.01,80,799,Closed
Ghulam Ishaq Khan Institute (GIKI),Software Engineering,2018,96.1,60,1082,Closed
Quaid-i-Azam University (QAU),Business Administration,2020,86.31,60,1009,Closed
Air University Islamabad,Economics,2016,77.96,120,780,Closed
Riphah International University,Civil Engineering,2022,69.33,100,1276,Closed
University of Management and Technology (UMT),Artificial Intelligence,2023,77.05,50,302,Closed
Ghulam Ishaq Khan Institute (GIKI),Data Science,2020,153.45,120,1928,Closed
Air University Islamabad,Civil Engineering,2020,78.09,40,541,Closed
Bahria University,Artificial Intelligence,2015,85.3,150,2554,Closed
University of Sargodha,Artificial Intelligence,2018,74.05,50,228,Closed
Islamia University of Bahawalpur,Chemical Engineering,2021,69.14,100,1248,Closed
Lahore University of Management Sciences (LUMS),Mathematics,2016,93.9,50,721,Closed
University of Engineering and Technology (UET) Taxila,Mechanical Engineering,2020,87.07,100,1369,Closed
FAST National University,Computer Science,2019,92.73,100,929,Closed
University of Management and Technology (UMT),Civil Engineering,2022,67.62,50,480,Closed
Ghulam Ishaq Khan Institute (GIKI),Biomedical Engineering,2015,91.58,150,1126,Closed
Bahauddin Zakariya University (BZU) Multan,Business Administration,2021,69.24,50,587,Closed
University of Central Punjab (UCP),Business Administration,2016,67.19,60,280,Closed
COMSATS University Islamabad,Software Engineering,2019,83.75,100,1069,Closed
University of Management and Technology (UMT),Mathematics,2016,66.84,150,1962,Closed
Quaid-i-Azam University (QAU),Mechanical Engineering,2015,85.35,40,497,Closed
University of Central Punjab (UCP),Electrical Engineering,2019,69.67,60,643,Closed
University of Agriculture Faisalabad (UAF),Biomedical Engineering,2021,72.07,60,881,Closed
Islamia University of Bahawalpur,Biomedical Engineering,2018,71.78,80,584,Closed
University of Karachi,Biomedical Engineering,2018,76.66,80,1291,Closed
Quaid-i-Azam University (QAU),Chemical Engineering,2019,85.79,50,884,Closed
Institute of Space Technology (IST),Mathematics,2016,78.64,150,944,Closed
Superior University Lahore,Computer Science,2021,72.78,60,554,Closed
University of Central Punjab (UCP),Chemical Engineering,2024,71.1,150,2219,Closed
University of Gujrat,Economics,2023,73.01,100,1202,Closed
University of Karachi,Business Administration,2024,74.05,100,670,Closed
Islamia University of Bahawalpur,Mechanical Engineering,2015,63.21,80,443,Closed
Quaid-i-Azam University (QAU),Software Engineering,2016,92.38,40,296,Closed
Ghulam Ishaq Khan Institute (GIKI),Data Science,2019,95.7,150,2731,Closed
University of Gujrat,Mechanical Engineering,2015,65.89,150,899,Closed
Bahria University,Data Science,2024,84.44,60,464,Closed
University of Management and Technology (UMT),Computer Science,2020,79.03,60,678,Closed
COMSATS University Islamabad,Chemical Engineering,2018,82.51,50,589,Closed
Ghulam Ishaq Khan Institute (GIKI),Mathematics,2018,87.71,120,872,Closed
Superior University Lahore,Electrical Engineering,2018,67.51,60,242,Closed
University of Central Punjab (UCP),Mathematics,2019,66.72,100,815,Closed
Riphah International University,Chemical Engineering,2024,70.12,50,702,Closed
Bahria University,Mechanical Engineering,2017,75.01,50,465,Closed
Islamia University of Bahawalpur,Mathematics,2015,64.01,120,992,Closed
FAST National University,Data Science,2023,93.12,100,1550,Closed
NED University of Engineering and Technology,Mathematics,2019,84.81,150,2143,Closed
University of Sargodha,Business Administration,2017,61.44,150,768,Closed
Riphah International University,Artificial Intelligence,2021,77.22,40,278,Closed
Lahore University of Management Sciences (LUMS),Business Administration,2020,95.0,100,1365,Closed
Institute of Space Technology (IST),Mechanical Engineering,2018,81.89,120,1959,Closed
Ghulam Ishaq Khan Institute (GIKI),Mathematics,2016,87.73,150,2434,Closed
University of Karachi,Mathematics,2020,71.78,40,500,Closed
Punjab University (PU),Mechanical Engineering,2015,79.9,50,622,Closed
Institute of Space Technology (IST),Software Engineering,2023,86.73,40,507,Closed
University of Engineering and Technology (UET) Taxila,Electrical Engineering,2018,88.38,120,1547,Closed
Superior University Lahore,Software Engineering,2020,68.65,60,243,Closed
National University of Sciences and Technology (NUST),Mathematics,2023,91.61,120,1465,Closed
Lahore University of Management Sciences (LUMS),Data Science,2023,99.5,60,942,Closed
Islamia University of Bahawalpur,Economics,2018,67.53,80,691,Closed
Mehran University of Engineering and Technology,Mechanical Engineering,2024,76.82,50,257,Closed
University of Engineering and Technology (UET) Lahore,Mathematics,2017,88.89,80,548,Closed
Superior University Lahore,Mathematics,2022,63.59,40,492,Closed
University of Sargodha,Economics,2018,65.84,150,613,Closed
Mehran University of Engineering and Technology,Data Science,2016,81.04,60,642,Closed
University of Agriculture Faisalabad (UAF),Biomedical Engineering,2022,78.65,120,1699,Closed
University of Sargodha,Chemical Engineering,2021,67.86,150,1440,Closed
Air University Islamabad,Chemical Engineering,2020,81.27,100,823,Closed
Ghulam Ishaq Khan Institute (GIKI),Business Administration,2019,90.79,100,1287,Closed
University of Karachi,Software Engineering,2021,77.13,60,883,Closed
Islamia University of Bahawalpur,Biomedical Engineering,2023,71.47,50,378,Closed
Mehran University of Engineering and Technology,Economics,2024,76.63,40,428,Closed
University of Gujrat,Biomedical Engineering,2019,72.35,60,254,Closed
Bahria University,Artificial Intelligence,2018,85.73,40,285,Closed
Bahauddin Zakariya University (BZU) Multan,Artificial Intelligence,2018,77.59,80,934,Closed
Bahria University,Software Engineering,2017,80.74,80,770,Closed
University of Gujrat,Business Administration,2021,65.86,40,360,Closed
University of Agriculture Faisalabad (UAF),Business Administration,2016,68.38,150,1399,Closed
Lahore University of Management Sciences (LUMS),Computer Science,2016,98.96,40,674,Closed
Punjab University (PU),Mathematics,2021,77.89,120,1530,Closed
Islamia University of Bahawalpur,Mathematics,2020,68.11,80,836,Closed
University of Engineering and Technology (UET) Lahore,Business Administration,2020,89.05,50,859,Closed
University of Management and Technology (UMT),Economics,2022,74.01,50,404,Closed
Bahauddin Zakariya University (BZU) Multan,Business Administration,2018,69.17,120,1527,Closed
Ghulam Ishaq Khan Institute (GIKI),Business Administration,2024,89.12,60,1001,Closed
Mehran University of Engineering and Technology,Biomedical Engineering,2023,81.55,100,1700,Closed
National University of Sciences and Technology (NUST),Civil Engineering,2017,87.99,50,389,Closed
University of Central Punjab (UCP),Biomedical Engineering,2019,70.22,100,708,Closed
University of Karachi,Artificial Intelligence,2022,82.71,150,1854,Closed
Institute of Space Technology (IST),Data Science,2020,89.82,150,2371,Closed
University of the Punjab (Gujranwala Campus),Mechanical Engineering,2021,75.59,40,557,Closed
